PKI,Variant,Distributed,Subscribe,Cache,Firewall,Attack Origin,Revocation Origin,Message Time,message_time,firewall,delivered_count,delivered_ratio,delivered_count_earth,delivered_count_moon,delivered_count_mars,latency_dropped_min,latency_dropped_max,latency_dropped_mean,latency_dropped_std,latency_accepted_min,latency_accepted_max,latency_accepted_mean,latency_accepted_std,delivered_ratio_earth,delivered_ratio_moon,delivered_ratio_mars
OCSP,--,\cmark,,\cmark,,Earth,Mars,16000,16000,False,268,95.71428571428572,256,12,0,1259.4103157125685,1259.4868951320605,1259.4502134876536,0.0215036440956189,0.04236301007586,5.137896230909973,0.2575586123594436,0.6519718097007821,100.0,100.0,0.0
OCSP,--,\cmark,,\cmark,,Earth,Mars,34700,34700,False,257,91.78571428571428,256,1,0,1259.3595383768406,2965.07227257728,1964.8311224158329,738.526334938506,0.0412977609885274,2711.305761174066,10.831146989608238,168.78417376661315,100.0,8.33333333333333,0.0
OCSP,--,\cmark,,\cmark,,Moon,Earth,3200,3200,False,13,4.642857142857141,0,12,1,1.3465977396153903,3729.3714127778494,155.14002130163732,740.8997812735157,0.039338738279639,3729.361813120103,286.9432615093219,993.7406388522052,0.0,100.0,8.33333333333333
OCSP,--,\cmark,,\cmark,,Moon,Earth,12100,12100,False,13,4.642857142857141,0,12,1,1296.3290537682406,3649.3750173202006,1393.8623348014237,467.5502763499479,0.0078306513023562,3649.361238560725,298.4782273173608,969.242782872651,0.0,100.0,8.33333333333333
OCSP,--,\cmark,,\cmark,,Moon,Earth,16000,16000,False,12,4.28571428571428,0,12,0,1.3651963415723003,1260.809530763061,57.8700382559101,260.43639486810264,0.023675800737692,0.118149900868957,0.072010560478399,0.027642008447571,0.0,100.0,0.0
OCSP,--,\cmark,,\cmark,,Moon,Earth,34700,34700,False,12,4.28571428571428,0,12,0,2711.3505805676978,3985.0626062153897,2768.520864886919,260.55258088117364,0.0232543295496725,0.0975010889378609,0.0685442952077816,0.0224562436168284,0.0,100.0,0.0
OCSP,--,\cmark,,\cmark,,Moon,Moon,3200,3200,False,21,7.5,21,0,0,0.039338738279639,3729.3714127778494,174.222090875381,783.610662091491,1.3465977396153903,1.4088758439838784,1.386978592127196,0.0135097352314547,8.203125,0.0,0.0
OCSP,--,\cmark,,\cmark,,Moon,Moon,12100,12100,False,5,1.78571428571428,0,4,1,0.0805456094130931,3649.3750173202006,1354.152683221899,514.8201237791761,0.0078306513023562,3649.361238560725,729.8944922167132,1459.7333732105265,0.0,33.33333333333333,8.33333333333333
OCSP,--,\cmark,,\cmark,,Moon,Moon,16000,16000,False,0,0.0,0,0,0,0.023675800737692,1260.809530763061,55.39297992610589,255.0632719197268,,,,,0.0,0.0,0.0
OCSP,--,\cmark,,\cmark,,Moon,Moon,34700,34700,False,2,0.71428571428571,1,0,1,0.0232543295496725,3985.0626062153897,2644.900763050551,613.0155012540578,2711.3505805676978,3970.651612615861,3341.001096591779,629.6505160240813,0.390625,0.0,8.33333333333333
